=== ps aux top 200 ===
USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root       17469  0.1  0.5 1322120 84996 ?       Ssl  Feb28   3:02 /usr/sbin/tailscaled --state=/var/lib/tailscale/tailscaled.state --socket=/run/tailscale/tailscaled.sock --port=41641
ollama     73431  0.0  0.2 2010848 36192 ?       Ssl  04:00   0:00 /usr/local/bin/ollama serve
root         431  0.0  0.1  66900 31016 ?        S<s  Feb28   0:54 /usr/lib/systemd/systemd-journald
root       13155  0.0  0.1 223416 27160 ?        SLsl Feb28   0:13 /sbin/multipathd -d -s
root        1138  0.0  0.1 109688 23136 ?        Ssl  Feb28   0:00 /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
root          76  0.0  0.0      0     0 ?        I<   Feb28   0:00 [kworker/R-blkcg]
root          77  0.0  0.0      0     0 ?        S    Feb28   0:00 [irq/9-acpi]
root          79  0.0  0.0      0     0 ?        I<   Feb28   0:00 [kworker/R-tpm_d]
root          80  0.0  0.0      0     0 ?        I<   Feb28   0:00 [kworker/R-ata_s]
root          81  0.0  0.0      0     0 ?        I<   Feb28   0:00 [kworker/R-md]
root          82  0.0  0.0      0     0 ?        I<   Feb28   0:00 [kworker/R-md_bi]
root          83  0.0  0.0      0     0 ?        I<   Feb28   0:00 [kworker/R-edac-]
root          84  0.0  0.0      0     0 ?        I<   Feb28   0:00 [kworker/R-devfr]
root          85  0.0  0.0      0     0 ?        S    Feb28   0:00 [watchdogd]
root          87  0.0  0.0      0     0 ?        I<   Feb28   0:00 [kworker/0:1H-kblockd]
root          91  0.0  0.0      0     0 ?        S    Feb28   0:00 [kswapd0]
root          92  0.0  0.0      0     0 ?        S    Feb28   0:00 [ecryptfs-kthread]
root          93  0.0  0.0      0     0 ?        I<   Feb28   0:00 [kworker/R-kthro]
root          94  0.0  0.0      0     0 ?        S    Feb28   0:00 [irq/24-aerdrv]
root          95  0.0  0.0      0     0 ?        S    Feb28   0:00 [irq/25-aerdrv]
root          96  0.0  0.0      0     0 ?        S    Feb28   0:00 [irq/26-aerdrv]
root          97  0.0  0.0      0     0 ?        S    Feb28   0:00 [irq/27-aerdrv]
root          98  0.0  0.0      0     0 ?        S    Feb28   0:00 [irq/28-aerdrv]
root          99  0.0  0.0      0     0 ?        S    Feb28   0:00 [irq/29-aerdrv]
root         100  0.0  0.0      0     0 ?        S    Feb28   0:00 [irq/30-aerdrv]
root         101  0.0  0.0      0     0 ?        S    Feb28   0:00 [irq/31-aerdrv]
root         102  0.0  0.0      0     0 ?        S    Feb28   0:00 [irq/32-aerdrv]
root         103  0.0  0.0      0     0 ?        S    Feb28   0:00 [irq/33-aerdrv]
root         104  0.0  0.0      0     0 ?        S    Feb28   0:00 [irq/34-aerdrv]
root         105  0.0  0.0      0     0 ?        S    Feb28   0:00 [irq/35-aerdrv]
root         106  0.0  0.0      0     0 ?        S    Feb28   0:00 [irq/36-aerdrv]
root         107  0.0  0.0      0     0 ?        S    Feb28   0:00 [irq/37-aerdrv]
root         108  0.0  0.0      0     0 ?        S    Feb28   0:00 [irq/38-aerdrv]
root         109  0.0  0.0      0     0 ?        S    Feb28   0:00 [irq/39-aerdrv]
root         110  0.0  0.0      0     0 ?        S    Feb28   0:00 [irq/40-aerdrv]
root         111  0.0  0.0      0     0 ?        S    Feb28   0:00 [irq/41-aerdrv]
root         112  0.0  0.0      0     0 ?        S    Feb28   0:00 [irq/42-aerdrv]
root         113  0.0  0.0      0     0 ?        S    Feb28   0:00 [irq/43-aerdrv]
root         114  0.0  0.0      0     0 ?        S    Feb28   0:00 [irq/44-aerdrv]
root         115  0.0  0.0      0     0 ?        S    Feb28   0:00 [irq/45-aerdrv]
root         116  0.0  0.0      0     0 ?        S    Feb28   0:00 [irq/46-aerdrv]
root         117  0.0  0.0      0     0 ?        S    Feb28   0:00 [irq/47-aerdrv]
root         118  0.0  0.0      0     0 ?        S    Feb28   0:00 [irq/48-aerdrv]
root         119  0.0  0.0      0     0 ?        S    Feb28   0:00 [irq/49-aerdrv]
root         120  0.0  0.0      0     0 ?        S    Feb28   0:00 [irq/50-aerdrv]
root         121  0.0  0.0      0     0 ?        S    Feb28   0:00 [irq/51-aerdrv]
root         122  0.0  0.0      0     0 ?        S    Feb28   0:00 [irq/52-aerdrv]
root         123  0.0  0.0      0     0 ?        S    Feb28   0:00 [irq/53-aerdrv]
root         124  0.0  0.0      0     0 ?        S    Feb28   0:00 [irq/54-aerdrv]
root         125  0.0  0.0      0     0 ?        S    Feb28   0:00 [irq/55-aerdrv]
root         126  0.0  0.0      0     0 ?        S    Feb28   0:00 [irq/56-aerdrv]
root         127  0.0  0.0      0     0 ?        I<   Feb28   0:00 [kworker/R-acpi_]
root         128  0.0  0.0      0     0 ?        I<   Feb28   0:00 [kworker/6:1H-kblockd]
root         130  0.0  0.0      0     0 ?        I<   Feb28   0:00 [kworker/R-mld]
root         131  0.0  0.0      0     0 ?        I<   Feb28   0:00 [kworker/R-ipv6_]
root         138  0.0  0.0      0     0 ?        I<   Feb28   0:00 [kworker/R-kstrp]
root         141  0.0  0.0      0     0 ?        I<   Feb28   0:00 [kworker/u17:0]
root         146  0.0  0.0      0     0 ?        I<   Feb28   0:00 [kworker/R-crypt]
root         156  0.0  0.0      0     0 ?        I<   Feb28   0:00 [kworker/R-charg]
root         181  0.0  0.0      0     0 ?        I<   Feb28   0:00 [kworker/2:1H-kblockd]
root         184  0.0  0.0      0     0 ?        I<   Feb28   0:00 [kworker/1:1H-kblockd]
root         220  0.0  0.0      0     0 ?        I<   Feb28   0:00 [kworker/5:1H-kblockd]
root         221  0.0  0.0      0     0 ?        I<   Feb28   0:00 [kworker/4:1H-kblockd]
root         222  0.0  0.0      0     0 ?        I<   Feb28   0:00 [kworker/3:1H-kblockd]
root         223  0.0  0.0      0     0 ?        I<   Feb28   0:00 [kworker/7:1H-kblockd]
root         224  0.0  0.0      0     0 ?        S    Feb28   0:00 [hwrng]
root         245  0.0  0.0      0     0 ?        S    Feb28   0:00 [scsi_eh_0]
root         246  0.0  0.0      0     0 ?        I<   Feb28   0:00 [kworker/R-scsi_]
root         248  0.0  0.0      0     0 ?        S    Feb28   0:00 [scsi_eh_1]
root         249  0.0  0.0      0     0 ?        I<   Feb28   0:00 [kworker/R-scsi_]
root         250  0.0  0.0      0     0 ?        S    Feb28   0:00 [scsi_eh_2]
